,BOOK NAME,AUTHOR,PAGES
7199,The Successful Author Mindset: A Handbook for Surviving the Writer's Journey,Joanna Penn,149
7200,Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump,Michael Cohen,465
7201,Guilt by Accusation: The Challenge of Proving Innocence in the Age of #MeToo,Alan Dershowitz,193
7202,The Killer Across the Table: Unlocking the Secrets of Serial Killers and Predators with the FBI's Original Mindhunter,John Douglas,396
7203,"Reading behind Bars: A True Story of Literature, Law, and Life as a Prison Librarian",Jill Grunenwald,338
7204,"Living Trusts for Everyone: Why a Will Is Not the Way to Avoid Probate, Protect Heirs, and Settle Estates (Second Edition)",Ronald Farrington Sharp,200
7205,When Harry Became Sally: Responding to the Transgender Moment,Ryan T. Anderson,396
7206,"Corona, False Alarm?: Facts and Figures",Karina Reiss,168
7207,Conviction: The Untold Story of Putting Jodi Arias Behind Bars,Juan Martinez,457
7208,Contract Law For Dummies,Scott J. Burnham,582
7209,Lady Killers: Deadly Women Throughout History,Tori Telfer,401
7210,Blood Brother: 33 Reasons My Brother Scott Peterson Is Guilty,Anne Bird,236
7211,One Vote Away: How a Single Supreme Court Seat Can Change History,Ted Cruz,355
7212,Open Season: Legalized Genocide of Colored People,Ben Crump,287
7213,Critical Race Theory: The Cutting Edge,Jean Stefancic,734
7214,"Beyond the Body Farm: A Legendary Bone Detective Explores Murders, Mysteries, and the Revolution in Forensic Science",Dr. Bill Bass,359
7215,Imperfect Justice Updated Ed: Prosecuting Casey Anthony,Jeff Ashton,469
7216,Negotiating for Success: Essential Strategies and Skills,George Siedel,177
7217,The Revised Rules of Criminal Procedure Annotated,Mangontawar Gubat,715
7218,Legal Writing Exercises: A Practical Guide to Clear and Persuasive Writing for Lawyers,E. Scott Fruehwald,282
7219,Innocent Victims: The True Story of the Eastburn Family Murders,Scott Whisnant,468
7220,The Common Law,"Oliver Wendell Holmes, Jr.",381
7221,"Greentown: Murder and Mystery in Greenwich, America's Wealthiest Community",Timothy Dumas,384
7222,The Watergate Girl: My Fight for Truth and Justice Against a Criminal President,Jill Wine-Banks,315
7223,Law For Dummies,John Ventura,674
7224,Paddy Whacked: The Untold Story of the Irish American Gangster,T. J. English,770
7225,Threading My Prayer Rug: One Woman's Journey from Pakistani Muslim to American Muslim,Sabeeha Rehman,418
7226,The Court of Last Resort: The True Story of a Team of Crime Experts Who Fought to Save the Wrongfully Convicted,Erle Stanley Gardner,434
7227,"For the Thrill of It: Leopold, Loeb, and the Murder That Shocked Jazz Age Chicago",Simon Baatz,743
7228,"What Are You Laughing At?: How to Write Humor for Screenplays, Stories, and More",Brad Schreiber,394
7229,Drafting Affidavits and Statements,Paul Venus,276
7230,Sometimes Brilliant: The Impossible Adventure of a Spiritual Seeker and Visionary Physician Who Helped Conquer the Worst Disease in History,Larry Brilliant,485
7231,A Nation of Immigrants,John F. Kennedy,197
7232,Civil Rights: RHETORIC OR REALITY,Thomas Sowell,185
7233,"The Taking of Getty Oil: Pennzoil, Texaco, and the Takeover Battle That Made History",Steve Coll,728
7234,Ice and Bone: Tracking an Alaskan Serial Killer,Monte Francis,401
7235,No Stone Unturned: The True Story of the World's Premier Forensic Investigators,Steve  Jackson,571
7236,Think and Grow Rich!,Napoleon Hill,356
7237,Who Killed My Daughter?: The Startling True Story of a Mother's Search for Her Daughter's Murderer,Lois Duncan,412
7238,"Criminal Law Handbook, The: Know Your Rights, Survive the System",Paul Bergman,1194
7239,Justice on Trial: The Kavanaugh Confirmation and the Future of the Supreme Court,Mollie Hemingway,632
7240,"The Executor's Handbook: A Step-by-Step Guide to Settling an Estate for Personal Representatives, Administrators, and Beneficiaries, Fourth Edition",Theodore E. Hughes,374
7241,Inheriting Clutter: How to Calm the Chaos Your Parents Leave Behind,Julie Hall,319
7242,Mergers and Acquisitions from A to Z,Thomas Nelson,391
7243,"The Ultimate LNAT Collection: 3 Books In One, 600 Practice Questions & Solutions, Includes 4 Mock Papers, Detailed Essay Plans, 2019 Edition, Law National Aptitude Test, UniAdmissions",William Antony,725
7244,Criminal Profiling: An Introduction to Behavioral Evidence Analysis,Elsevier Books Reference,653
7245,101 Law Forms for Personal Use,Nolo Editors,728
7246,Sex Trafficking: Inside the Business of Modern Slavery,Siddharth Kara,446
7247,Ruth Bader Ginsburg: In Her Own Words,Open Road Integrated Media,131
7248,The Art of Cross Examination by Francis L. Wellman,Francis L. Wellman,355
7249,"The Dance of Fear: Rising Above Anxiety, Fear, and Shame to Be Your Best and Bravest Self",Harriet Lerner,292
7250,Winning Litigation,David Dantes,341
7251,Black Dahlia Avenger: A Genius for Murder: The True Story,Steve Hodel,808
7252,"The Little Book of Race and Restorative Justice: Black Lives, Healing, and US Social Transformation",Fania E. Davis,140
7253,"Indigenous Writes: A Guide to First Nations, Métis, & Inuit Issues in Canada",Chelsea Vowel,471
7254,Layman's International Law: Everything You Need to Know About the Law of Nations,Samit D'Cunha,158
7255,How to Write a Business Plan,Mike P. McKeever,467
7256,Religious Liberty in Crisis: Exercising Your Faith in an Age of Uncertainty,Ken Starr,280
7257,Business Law,Robert W. Emerson,1350
7258,Trans: When Ideology Meets Reality,Helen Joyce,337
7259,Hitler's American Model: The United States and the Making of Nazi Race Law,James Q. Whitman,284
7260,The Little Book of Restorative Justice: Revised and Updated,Howard Zehr,94
7261,Deadly Force: How a Badge Became a License to Kill,"Lawrence O'Donnell, Jr.",619
7262,Construction Contracts,Edward Whitticks,485
7263,Represent Yourself in Court: Prepare & Try a Winning Civil Case,Paul Bergman,1142
7264,8 Living Trust Forms: Legal Self-Help Guide,Sanket Mistry,151
7265,The Chickenshit Club: Why the Justice Department Fails to Prosecute Executives,Jesse Eisinger,522
7266,Bad Credit Kryptonite: Remove Negative Credit Report Information Like A Superhero,Kent Greenfields,36
7267,Wills and Trusts Kit For Dummies,Aaron Larson,544
7268,"Honor Few, Fear None: The Life and Times of a Mongol",Ruben Cavazos,267
7269,International Business Law: Cases and Materials,George D. Cameron III,978
7270,"The Corruption Chronicles: Obama's Big Secrecy, Big Corruption, and Big Government",Tom Fitton,527
7271,Hunting Whitey: The Inside Story of the Capture & Killing of America's Most Wanted Crime Boss,Casey Sherman,417
7272,Murder in Tombstone: The Forgotten Trial of Wyatt Earp,Steven Lubet,395
7273,"Case Against the New Censorship: Protecting Free Speech from Big Tech, Progressives, and Universities",Alan Dershowitz,150
7274,Smart on Crime,Kamala Harris,270
7275,Civil Engineering Contracts: Practice and Procedure,Charles K. Haswell,195
7276,The Heritage Guide to the Constitution: Fully Revised Second Edition,Edwin Meese III,1587
7277,"Patents, Copyrights and Trademarks For Dummies",Henri J. A. Charmasson,575
7278,A Brief Guide to Brief Writing: Demystifying the Memorandum of the Law,Janet S. Kole,141
7279,Secret Of Mental Math Arithmetic: 70 Secrets To Super Speed Calculation & Amazing Math Tricks: How to Do Math without a Calculator,Jason Scotts,35
7280,The Deal of the Century: The Breakup of AT&T,Steve Coll,528
7281,Dead Center: Behind the Scenes at the World's Largest Medical Examiner's Office,Shiya Ribowsky,346
7282,Exercises for the Brain and Memory : 70 Neurobic Exercises & FUN Puzzles to Increase Mental Fitness & Boost Your Brain Juice Today (With Crossword Puzzles),Jason Scotts,111
7283,Paralegal Career For Dummies,Scott A. Hatch,633
7284,"Broker, Trader, Lawyer, Spy: The Secret World of Corporate Espionage",Eamon Javers,442
7285,The Naked Lady Who Stood on Her Head: A Psychiatrist's Stories of His Most Bizarre Cases,Dr. Gary Small,359
7286,Just Mercy: a story of justice and redemption,Bryan Stevenson,426
7287,Sandra Day O'Connor: How the First Woman on the Supreme Court Became Its Most Influential Justice,Joan Biskupic,663
7288,Contract Law Terminology and Definitions (Speedy Study Guide),Speedy Publishing,5
7289,The Mediator's Handbook: Revised & Expanded fourth edition,Jennifer E. Beer,412
7290,The 1987 Constitution: To Change or Not to Change?,Antonio G.M. La Viña,250
7291,EU General Data Protection Regulation (GDPR): An Implementation and Compliance Guide,ITGP Privacy Team,377
7292,Criminal Investigation: Law and Practice,Michael F. Brown,291
7293,Little Book of Circle Processes: A New/Old Approach To Peacemaking,Kay Pranis,94
7294,Commercial Law: Made Simple,John Parris,245
7295,On Western Terrorism: From Hiroshima to Drone Warfare,Noam Chomsky,240
7296,"55 Successful Harvard Law School Application Essays, 2nd Edition: With Analysis by the Staff of The Harvard Crimson",Staff of the Harvard Crimson,277
7297,"Lawyers, Liars, and the Art of Storytelling: Using Stories to Advocate, Influence, and Persuade",Jonathan Shapiro,350
7298,Life in the UK 2020 Test,Hugh Lewis,2947
7299,"Legal Forms for Starting & Running a Small Business: 65 Essential Agreements, Contracts, Leases & Letters",Fred S. Steingold,1036
7300,Thrive: A New Lawyer's Guide to Law Firm Practice,Desirée Moore,155
7301,Technology in Supply Chain Management and Logistics: Current Practice and Future Applications,Anthony M. Pagano,396
7302,Effective Interviewing and Interrogation Techniques,Nathan J. Gordon,761
7303,MacCarthy on Cross-Examination,Terence MacCarthy,308
7304,Presumed Guilty: What the Jury Never Knew About Laci Peterson's Murder and Why Scott Peterson Should Not Be on Death Row,Matt Dalton,169
7305,Tax-Free Wealth: How to Build Massive Wealth by Permanently Lowering Your Taxes,Tom Wheelwright,379
7306,With Liberty and Justice for Some: How the Law Is Used to Destroy Equality and Protect the Powerful,Glenn Greenwald,328
7307,Illusion of Justice: Inside Making a Murderer and America's Broken System,Jerome F. Buting,458
7308,The Autopsy: More than you ever wanted to know,Kenneth Iserson,366
7309,War of the Whales: A True Story,Joshua Horwitz,696
7310,A Toast to Silence: Avoid Becoming Another Victim of Deceptive Police Tactics By Knowing When and How to Use the Power of Silence,Peter Baskin,182
7311,IFRS 9 and CECL Credit Risk Modelling and Validation: A Practical Guide with Examples Worked in R and SAS,Tiziano Bellini,654
7312,An Introduction to the Study of Tort,Nayab Naseer,65
7313,Your Deceptive Mind: A Scientific Guide to Critical Thinking (Transcript),Steven Novella,503
7314,The Small Firm Roadmap: A Survival Guide to the Future of Your Law Practice,Aaron Street,327
7315,Dictionary of Legal Terms: Definitions and Explanations for Non-Lawyers,Steven H. Gifis,925
7316,"On Your Case: A Comprehensive, Compassionate (and Only Slightly Bossy) Legal Guide for Every Stage of a Woman's Life",Lisa Green,468
7317,The Woman's Dictionary of Symbols and Sacred Objects,Barbara G. Walker,3251
7318,Have Black Lives Ever Mattered?,Mumia Abu-Jamal,212
7319,The Code of Capital: How the Law Creates Wealth and Inequality,Katharina Pistor,449
7320,Torts (Speedy Study Guides),Speedy Publishing,5
7321,Summary: Bill Gates: How to Avoid a Climate Disaster: Fast Track Learning: Lite Version: The Solutions We Have and the Breakthroughs We Need,Scott Campbell,47
7322,Little Book of Conflict Transformation: Clear Articulation Of The Guiding Principles By A Pioneer In The Field,John Lederach,80
7323,Drafting Applications Under CPC and CrPC: An Essential Guide for Young Lawyers and Law Students,Swetang Rataboli,170
7324,Wrecking Crew: Demolishing the Case Against Steven Avery,John Ferak,499
7325,The Fence: A Police Cover-up Along Boston's Racial Divide,Dick Lehr,507
7326,"Commercial Contracts: A Practical Guide to Deals, Contracts, Agreements and Promises",Chris Thorpe,216
7327,The Fifteen Percent: Overcoming Hardships and Achieving Lasting Success,Terry Giles,199
7328,"The Way of the Lawyer: Strategies and Tactics for Negotiations, Presentations, and Litigation",Chris Scott Graham,376
7329,Law of Contract Made Simple for Laymen,Nurnazida Nazri,51
7330,Nolo's Encyclopedia of Everyday Law: Answers to Your Most Frequently Asked Legal Questions,Shae Irving,980
7331,"The Little Book of Racial Healing: Coming to the Table for Truth-Telling, Liberation, and Transformation",Thomas Norman DeWolf,134
7332,The Truth about the O.J. Simpson Trial: By the Architect of the Defense,F. Lee Bailey,370
7333,"Out of Bounds: Inside the NBA's Culture of Rape, Violence, and Crime",Jeff Benedict,336
7334,"Lies the Government Told You: Myth, Power, and Deception in American History",Andrew P. Napolitano,342
7335,The Law of the Land: The Evolution of Our Legal System,Charles Rembar,643
7336,The Plot to Change America: How Identity Politics is Dividing the Land of the Free,Mike Gonzalez,367
7337,"Notarial Practice & Malpractice in the Philippines: Rules, Jurisprudence, & Comments",Jose Y. Dalisay III,290
7338,Forensic Criminology,Elsevier Books Reference,1141
7339,Contracts for Your Business: A straightforward guide to contracts and legal agreements,Charles Boundy,239
7340,Advanced Credit Repair Secrets Revealed,Marsha Graham,119
7341,"1L Success Guide: Learning the Law, Acing Your Exams, and Getting to the Top of Your Class",Matt Racine,62
7342,The Aliites: Race and Law in the Religions of Noble Drew Ali,Spencer Dew,400
7343,When Is It Right to Die?: A Comforting and Surprising Look at Death and Dying,Joni Eareckson Tada,215
7344,Methamphetamine: A Love Story,Rashi K. Shukla,426
7345,Old Sparky: The Electric Chair and the History of the Death Penalty,Anthony Galvin,353
7346,"The Condemnation of Blackness: Race, Crime, and the Making of Modern Urban America, With a New Preface",Khalil Gibran Muhammad,641
7347,Engineering Contracts,ROBERT RIBEIRO,162
7348,Sherlock Holmes for Lawyers: 100 Clues for Litigators from the Master Detective,"I, Cecil C. Kuhne, II",112
7349,Law Contracts (Speedy Study Guides),Speedy Publishing,5
7350,Dictionary of Criminology,Mwene Mushanga,207
7351,The Curmudgeon's Guide to Practicing Law,Mark Herrman,142
7352,Race to Justice,Larry Sells,456
7353,Never Suck A Dead Man's Hand:,Dana Kollmann,322
7354,2nd Grade Science Workbook: The Universe and the Galaxy,Baby Professor,31
7355,Journal of the Dead: A Story of Friendship and Murder in the New Mexico Desert,Jason Kersten,261
7356,The Everything Guide To Being A Paralegal: Winning Secrets to a Successful Career!,Steven Schneider,501
7357,How to Be Sort of Happy in Law School,Kathryne M. Young,516
7358,"Run, Brother, Run: A Memoir of a Murder in My Family",David Berg,299
7359,Model Witness Examinations,Paul Mark Sandler,529
7360,Writing Shorter Legal Documents: Strategies for Faster and Better Editing,Dr Sandra J. Oster,179
7361,A Streetwise Guide to Litigation,Kenneth Noland,255
7362,Clarence Darrow: attorney for the damned,John A. Farrell,802
7363,Nolo's Deposition Handbook: The Essential Guide for Anyone Facing or Conducting a Deposition,Paul Bergman,598
7364,Evil Angels: The Case of Lindy Chamberlain,John Bryson,865
7365,Safety at Work,Elsevier Books Reference,620
7366,Secrets of Criminal Defense,Burton Milward Jr.,99
7367,Train Your Brain & Mental Strength : How to Train Your Brain for Mental Toughness & 7 Core Lessons to Achieve Peak Mental Performance: (Special 2 In 1 Exclusive Edition),Jason Scotts,85
7368,"Hollywood Dealmaking: Negotiating Talent Agreements for Film, TV, and Digital Media (Third Edition)",Dina Appleton,623
7369,History of International Law · Foundations and Principles of International Law · Sources of International Law · Law of Treaties: Published under the Auspices of the Max Planck Institute for Comparative Public Law and International Law under the Direction of Rudolf Bernhardt,Sam Stuart,571
7370,Tax Savvy for Small Business: A Complete Tax Strategy Guide,Frederick W. Daily,848
7371,Executing Grace: How the Death Penalty Killed Jesus and Why It's Killing Us,Shane Claiborne,338
7372,"2020 Florida Real Estate Exam Prep Questions, Answers & Explanations: Study Guide to Passing the Sales Associate Real Estate License Exam Effortlessly",Real Estate Exam Professionals Ltd.,582
7373,"Obama's Legacy - Yes We Can, Yes We Did: Main Accomplishments & Projects, All Executive Orders, International Treaties, Inaugural Speeches and Farwell Address of the 44th President of the United States",Barack Obama,260
7374,Export/Import Procedures and Documentation,Donna Bade,1050
7375,"The IPO Handbook: A Guide for Entrepreneurs, Executives, Directors and Private Investors",Sonny Allison,330
7376,Nolo's Essential Guide to Buying Your First Home,Ilona Bray,695
7377,Should America Pay?: Slavery and the Raging Debate on Reparations,"Raymond Winbush, PhD",657
7378,"Fundamental Aspects of Legal, Ethical and Professional Issues in Nursing 2nd Edition",Sally Carvalho,147
7379,Special Rules of Procedure Governing Philippine Shari'a Courts Annotated,Mangontawar Gubat,369
7380,Law School 20|20,Matthew Ormsbee,439
7381,Bipolar Disorder :Am I Bipolar ? How Bipolar Quiz & Tests Reveal The Answers,Heather Rose,34
7382,Discovery Problems and Their Solutions,Charles S. Fax,1042
7383,Microsoft Office 365 for Lawyers: A Practical Guide to Options and Implementation,Ben M. Schorr,277
7384,ISO/IEC 27701:2019: An introduction to privacy information management,Alan Shipman,64
7385,American Law 101: An Easy Primer on the U.S. Legal System,Jasper Kim,370
7386,The Big Book of Restorative Justice: Four Classic Justice & Peacebuilding Books in One Volume,Howard Zehr,360
7387,Introduction to Criminalistics: The Foundation of Forensic Science,Barry A.J. Fisher,777
7388,The Everything Executor and Trustee Book: A Step-by-Step Guide to Estate and Trust Administration,Douglas D Wilson,445
7389,Confessions of a Tax Collector: One Man's Tour of Duty Inside the IRS,Richard Yancey,493
7390,The Measure of Madness:,Cheryl Paradis,320
7391,The Soul of the First Amendment,Floyd Abrams,138
7392,"The Manager's Guide to HR: Hiring, Firing, Performance Evaluations, Documentation, Benefits, and Everything Else You Need to Know",Max Muller,503
7393,Constitutional Law,Speedy Publishing,5
7394,They Don't Represent Us: Reclaiming Our Democracy,Lawrence Lessig,496
7395,El Príncipe,Nicolas Maquiavelo,112
7396,"Done Deal: An Insider's Guide to Football Contracts, Multi-Million Pound Transfers and Premier League Big Business",Daniel Geey,420
7397,A History of America in Ten Strikes,Erik Loomis,418
7398,LEGAL LANGUAGE: An Introduction to the Study of Law in India,Nayab Naseer,161
7399,"The Law School Admission Game: Play Like an Expert, Second Edition","Ann K. Levine, Esq.",200
7400,Essential Evidence Outlines: Practitioner and Student Handbook 4Th Edition,Hon. Daniel P. Ryan Phd,311
7401,From Jailer to Jailed: My Journey from Correction and Police Commissioner to Inmate #84888-054,Bernard B. Kerik,324
7402,Kidnapped by a Client: The Incredible True Story of an Attorney's Fight for Justice,Sharon R. Muse,356
7403,"Surviving Pablo Escobar: ""Popeye"" The Hitman 23 years and 3 months in prison",Jhon Jairo Velásquez Vásquez,564
7404,Criminal Law: A Desk Reference,Paul Bergman,558
7405,"Law Office on a Laptop: How to Set Up Your Own Successful Law Practice, Second Edition",Catherine Hodder,126
7406,The Dark Web: The Unseen Side of the Internet,A.J. Wright,46
7407,The Science of Persuasion: A Litigator's Guide to Juror Decision-Making,Ph. D Bradshaw,495
7408,From the Folks Who Brought You the Weekend: An Illustrated History of Labor in the United States,Priscilla Murolo,948
7409,"Until We Reckon: Violence, Mass Incarceration, and a Road to Repair",Danielle Sered,380
7410,Chokehold: Policing Black Men,Paul Butler,408
7411,Clarence Thomas and the Lost Constitution,Myron Magnet,213
7412,Judging Thomas: The Life and Times of Clarence Thomas,Ken Foskett,444
7413,Child Custody a to Z: Winning with Evidence,Guy White,256
7414,Smokescreen: What the Marijuana Industry Doesn't Want You to Know,Kevin A. Sabet,383
7415,"Intellectual Property Law: A Practical Guide to Copyrights, Patents, Trademarks and Trade Secrets",Victor D. Lopez,333
7416,"The Little Book of Dialogue for Difficult Subjects: A Practical, Hands-On Guide",Lisa Schirch,92
7417,Liberty and Sexuality: The Right to Privacy and the Making of Roe v. Wade,David J. Garrow,1937
7418,Uncertain Justice: The Roberts Court and the Constitution,Laurence Tribe,653
7419,The Education of a Lawyer: Essential Skills and Uncommon Advice for Building a Successful Career,Gary Muldoon,301
7420,Little Book of Biblical Justice: A Fresh Approach To The Bible's Teachings On Justice,Chris Marshall,113
7421,The New Lawyer's Handbook: 101 Things They Don't Teach You in Law School,Karen Thalacker,235
7422,The Price of Justice: A True Story of Greed and Corruption,Laurence Leamer,581
7423,The Art of Conflict Management: Achieving Solutions for Life (Transcript),Michael Dues,453
7424,Conviction Machine: Standing Up to Federal Prosecutorial Abuse,Harvey Silverglate,261
7425,Token Economy: How the Web3 reinvents the Internet,Shermin Voshmgir,618
7426,"The Tech Contracts Handbook: Software Licenses, Cloud Computing Agreements, and Other IT Contracts for Lawyers and Businesspeople",David W. Tollen,581
7427,Stand Up That Mountain: The Battle to Save One Small Community in the Wilderness Along the Appalachian Trail,Jay Erskine Leutze,513
7428,We the People: A Progressive Reading of the Constitution for the Twenty-First Century,Erwin Chemerinsky,349
7429,The Introverted Lawyer: A Seven Step Journey Toward Authentically Empowered Advocacy,Heidi K. Brown,360
7430,The Best American Crime Writing 2006,Mark Bowden,400
7431,Death and Justice,Mark Fuhrman,382
7432,Blood Relation,Eric Konigsberg,316
7433,Reinventing Medicine: Beyond Mind-Body to a New Era of Healing,Larry Dossey,354
7434,The Case for Impeachment,Allan J. Lichtman,273
7435,High Conflict People in Legal Disputes,Bill Eddy,424
7436,"Sample Motion to Vacate, Motion to Dismiss, Affidavits, Notice of Objection, and Notice of Intent to File Claim",Malikhai Lewis,30
7437,Student's Guide for Environmental Law,Chetan Jadhav,859
7438,Waste: One Woman’s Fight Against America’s Dirty Secret,Catherine Coleman Flowers,222
7439,The Psychopathology of Crime: Criminal Behavior as a Clinical Disorder,Adrian Raine,312
7440,Tier 4B: Profiting From the Global Currency Reset and Currency Revaluation in the Age of GESARA,Quadraginta Unum,268
7441,Toxic Legacy: How the Weedkiller Glyphosate Is Destroying Our Health and the Environment,Stephanie Seneff,371
7442,The Corporate Counsel Survival Guide,William Kruse,207
7443,Seeds of Resistance: The Fight to Save Our Food Supply,Mark Schapiro,204
7444,"Credit Repair: Make a Plan, Improve Your Credit, Avoid Scams",Amy Loftsgordon,552
7445,Trying Cases to Win: In One Volume,Herbert J Stern,691
7446,The Lean Law Firm: Run Your Firm like the World’s Most Efficient and Profitable Businesses,Larry Port,372
7447,Just Mercy - Summarized for Busy People: Based on the Book by Bryan Stevenson,Goldmine Reads,65
7448,Trademark Protection and Prosecution,Ann Carrington,568
7449,The Little Book of Restorative Discipline for Schools: Teaching Responsibility; Creating Caring Climates,Lorraine Stutzman Amstutz,111
7450,The Feminist Lie,Bob Lewis,202
7451,Bar Exam MPT Preparation & Experiential Learning For Law Students: Interactive Performance Test Training,SARA J. BERMAN,487
7452,Building a Better Law Practice: Become a Better Lawyer in Five Minutes a Day,Jeremy W. Richter,202
7453,A Lawyer's Life,Johnnie Cochran,385
7454,Loaded: A Disarming History of the Second Amendment,Roxanne Dunbar-Ortiz,241
7455,Effective Fundraising for Nonprofits: Real-World Strategies That Work,Ilona Bray,604
7456,"No Lights, No Sirens: The Corruption and Redemption of an Inner City Cop",Robert Cea,318
7457,"Working for Yourself: Law & Taxes for Independent Contractors, Freelancers & Gig Workers of All Types",Stephen Fishman,797
7458,A Death in the Islands: The Unwritten Law and the Last Trial of Clarence Darrow,Mike Farris,469
7459,In the Interest of Justice: Great Opening & Closing Statements Throu,Joel Seidemann,545
7460,Successfully Defending Your Credit Card Lawsuit: What to Do If You Are Sued for a Credit Card Debt,"Richard A. Klass, Esq.",139
7461,The law of international organisations: Third edition,Nigel White,595
7462,"2021 California Real Estate Exam Prep Questions, Answers & Explanations: Study Guide to Passing the Salesperson Real Estate License Exam Effortlessly",Real Estate Exam Professionals Ltd.,1116
7463,Texas Real Estate License Exam Prep: All-in-One Review and Testing to Pass Texas' Pearson Vue Real Estate Exam,Stephen Mettling,670
7464,McElhaney's Litigation,James W. McElhaney,1034
7465,Justice for Some: Law and the Question of Palestine,Noura Erakat,538
7466,O.J. Is Innocent and I Can Prove It: The Shocking Truth about the Murders of Nicole Brown Simpson and Ron Goldman,William C. Dear,662
7467,No Way Home: The Crisis of Homelessness and How to Fix It with Intelligence and Humanity,Wayne Winegarden,277
7468,Just Harvest: The Story of How Black Farmers Won the Largest Civil Rights Case against the U.S. Government,Greg Francis,296
7469,A Dubious Expediency: How Race Preferences Damage Higher Education,CSPtrade,398
7470,"Police Investigation - Powers, Tactics and Techniques",V Sithannan,1389
7471,"2020 California Real Estate Exam Prep Questions, Answers & Explanations: Study Guide to Passing the Salesperson Real Estate License Exam Effortlessly",Real Estate Exam Professionals Ltd.,1054
7472,How to Win Your Personal Injury Claim,Joseph Matthews,621
7473,"People Wasn't Made to Burn: A True Story of Housing, Race, and Murder in Chicago",Joe Allen,256
7474,"The Great Escape: Health, Wealth, and the Origins of Inequality",Angus Deaton,438
7475,"The Day Freedom Died: The Colfax Massacre, the Supreme Court, and the Betrayal of Reconstruction",Charles Lane,569
7476,"Security Controls Evaluation, Testing, and Assessment Handbook",Leighton Johnson,2429
7477,COVID-19 and Well Planned Conspiracy Theories,Amy Miller,61
7478,Estate Planning Basics,Denis Clifford,357
7479,Aeronautical Chart User's Guide,Federal Aviation Administration,312
7480,Liberty and Union,David Herbert Donald,459
7481,Crook County: Racism and Injustice in America's Largest Criminal Court,Nicole Gonzalez Van Cleve,401
7482,Strange Crime,Editors of Portable Press,471
7483,Cannabis: The Illegalization of Weed in America,"Brian ""Box"" Brown",127
7484,Business Structures and Incorporation,Ann Carrington,682
7485,6th Grade Science Workbook: Space and the Cosmos,Baby Professor,31
7486,Official Proclamation of Real Moorish American Nationality: Our Status and Jurisdiction as Citizens of the U.S.A.,Timothy Drew Ali,56
7487,"The Cyber Security Handbook – Prepare for, respond to and recover from cyber attacks",Alan Calder,398
7488,Anatomy of a Trial,Paul Mark Sandler,732
7489,Patent It Yourself: Your Step-by-Step Guide to Filing at the U.S. Patent Office,David Pressman,1524
7490,"The Little Book of Restorative Teaching Tools: Games, Activities, and Simulations for Understanding Restorative Justice Practices",Lindsey Pointer,137
7491,"The Little Book of Transformative Community Conferencing: A Hopeful, Practical Approach to Dialogue",David Anderson Hooker,129
7492,The Killer Across the Table: From the authors of Mindhunter,John Douglas,394
7493,Corporate Governance,Alan S. Gutterman,294
7494,Architect's Legal Handbook: The Law for Architects,Anthony Speaight,271
7495,2020 Texas VUE Real Estate Exam Prep Questions & Answers: Study Guide to Passing the Salesperson Real Estate License Exam Effortlessly,Real Estate Exam Professionals Ltd.,508
7496,Sarbanes-Oxley Simplified,Mike Morley,165
7497,"How Global Currencies Work: Past, Present, and Future",Barry Eichengreen,361
7498,Finding Chandra: A True Washington Murder Mystery,Scott Higham,363
7499,America's Revolutionary Mind: A Moral History of the American Revolution and the Declaration That Defined It,C. Bradley Thompson,680
7500,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,225
7501,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,333
7502,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",Rachel Hollis,248
7503,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,270
7504,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,299
7505,"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life",Henry Cloud,466
7506,Feeling Good: The New Mood Therapy,"David D. Burns, M.D.",849
7507,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,192
7508,Decluttering at the Speed of Life: Winning Your Never-Ending Battle with Stuff,Dana K. White,272
7509,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,312
7510,God Is With You Every Day,Max Lucado,594
7511,Everything Is F*cked: A Book About Hope,Mark Manson,321
7512,Principles: Life and Work,Ray Dalio,672
7513,"The Happiness Project, Tenth Anniversary Edition: Or, Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",Gretchen Rubin,437
7514,Wild: A Journey from Lost to Found,Cheryl Strayed,444
7515,"Less Fret, More Faith: An 11-Week Action Plan to Overcome Anxiety",Max Lucado,41
7516,Unfu*k Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,135
7517,"Present Over Perfect: Leaving Behind Frantic for a Simpler, More Soulful Way of Living",Shauna Niequist,210
7518,The Success Principles(TM) - 10th Anniversary Edition: How to Get from Where You Are to Where You Want to Be,Jack Canfield,918
7519,How to Manage Your Home Without Losing Your Mind: Dealing with Your House's Dirty Little Secrets,Dana K. White,276
